id,case_id,diagnosis,recovery_score,recommended_action,delay_minutes,expected_recovery_value,reason,created_at
REC-beddfa0e,CASE-2015,INSUFFICIENT_FUNDS,65,RETRY,30,7573.45,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-26T18:16:04.272959
REC-e1e3d3fb,CASE-2016,INSUFFICIENT_FUNDS,59,RETRY,30,4217.52,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-28T09:16:04.272959
REC-4a8ed123,CASE-2017,TEMPORARY_FAILURE,82,RETRY,30,5869.43,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-27T05:16:04.272959
REC-9ba0a851,CASE-2018,INSUFFICIENT_FUNDS,67,RETRY,30,771.42,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-27T10:16:04.274968
REC-ce06fa1b,CASE-2019,INSUFFICIENT_FUNDS,54,RETRY,30,2507.86,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-27T02:16:04.274968
REC-afbcfe5a,CASE-2020,INSUFFICIENT_FUNDS,60,RETRY,30,2788.74,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-28T03:16:04.274968
REC-5a031860,CASE-2021,INSUFFICIENT_FUNDS,48,RETRY,30,2226.99,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-27T01:16:04.274968
REC-02c289a6,CASE-2022,INSUFFICIENT_FUNDS,53,RETRY,30,3786.58,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-27T23:16:04.274968
REC-0bcf89f0,CASE-2023,TEMPORARY_FAILURE,86,RETRY,30,3145.86,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-27T02:16:04.274968
REC-378e51ce,CASE-2024,INSUFFICIENT_FUNDS,57,RETRY,30,6638.87,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-26T17:16:04.274968
REC-b4421f90,CASE-2025,TEMPORARY_FAILURE,83,RETRY,30,5941.25,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-26T23:16:04.274968
REC-6d032a2c,CASE-2026,TEMPORARY_FAILURE,87,RETRY,30,10143.54,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-27T23:16:04.274968
REC-58581fc8,CASE-2027,INSUFFICIENT_FUNDS,64,RETRY,30,2335.99,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-26T13:16:04.274968
REC-57f7ff2d,CASE-2028,TEMPORARY_FAILURE,92,RETRY,30,1066.73,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-26T22:16:04.274968
REC-1d5dfe92,CASE-2029,INSUFFICIENT_FUNDS,58,RETRY,30,6755.69,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-27T16:16:04.274968
REC-2aeb8d24,CASE-2030,INSUFFICIENT_FUNDS,69,RETRY,30,2520.05,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-27T20:16:04.274968
REC-0c9619ff,CASE-2031,TEMPORARY_FAILURE,77,RETRY,30,2814.55,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-26T14:16:04.274968
REC-a20ced32,CASE-2032,TEMPORARY_FAILURE,93,RETRY,30,4333.54,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-27T10:16:04.276625
REC-3f261e04,CASE-2033,TEMPORARY_FAILURE,81,RETRY,30,936.8,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-27T01:16:04.276625
REC-271c1ddd,CASE-2034,TEMPORARY_FAILURE,82,RETRY,30,5869.43,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-28T00:16:04.276625
REC-01084c5f,CASE-2035,INSUFFICIENT_FUNDS,59,RETRY,30,2151.93,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-27T01:16:04.276625
REC-9cbf65a7,CASE-2036,TEMPORARY_FAILURE,88,RETRY,30,10260.36,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-26T14:16:04.276625
REC-ac4201d3,CASE-2037,TEMPORARY_FAILURE,92,RETRY,30,10727.65,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-26T14:16:04.276625
REC-d792aadc,CASE-2038,INSUFFICIENT_FUNDS,55,RETRY,30,2004.68,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-27T02:16:04.276625
REC-e8f42866,CASE-2039,INSUFFICIENT_FUNDS,48,RETRY,30,5587.47,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-26T18:16:04.276625
REC-9cbe3702,CASE-2040,TEMPORARY_FAILURE,93,RETRY,30,1078.54,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-26T15:16:04.276625
REC-139c4d4a,CASE-2041,INSUFFICIENT_FUNDS,45,RETRY,30,961.55,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-28T09:16:04.276625
REC-dc0047e1,CASE-2042,TEMPORARY_FAILURE,85,RETRY,30,6084.9,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-28T12:16:04.276625
REC-974e76f9,CASE-2043,TEMPORARY_FAILURE,80,RETRY,30,5725.78,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-27T03:16:04.276625
REC-858b6687,CASE-2044,INSUFFICIENT_FUNDS,62,RETRY,30,7222.98,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-27T04:16:04.276625
REC-a1555a4f,CASE-2045,TEMPORARY_FAILURE,88,RETRY,30,10260.36,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-28T06:16:04.276625
REC-3a7037fb,CASE-2046,INSUFFICIENT_FUNDS,54,RETRY,30,3858.4,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-27T03:16:04.276625
REC-b4383844,CASE-2047,INSUFFICIENT_FUNDS,67,RETRY,30,2446.42,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-27T13:16:04.276625
REC-99d42be2,CASE-2048,TEMPORARY_FAILURE,74,RETRY,30,3444.11,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-27T22:16:04.276625
REC-11facaf8,CASE-2049,TEMPORARY_FAILURE,88,RETRY,30,3219.48,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-27T11:16:04.276625
REC-6eb57798,CASE-2050,INSUFFICIENT_FUNDS,69,RETRY,30,3210.05,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-26T20:16:04.278632
REC-9213f9c8,CASE-2051,TEMPORARY_FAILURE,89,RETRY,30,1031.29,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-27T15:16:04.278632
REC-af0bd37d,CASE-2052,INSUFFICIENT_FUNDS,51,RETRY,30,3642.94,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-27T23:16:04.278632
REC-9d4336ea,CASE-2053,TEMPORARY_FAILURE,81,RETRY,30,9442.61,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-28T08:16:04.278632
REC-76e89c9d,CASE-2054,INSUFFICIENT_FUNDS,62,RETRY,30,7222.98,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-27T16:16:04.278632
REC-98f1c110,CASE-2055,INSUFFICIENT_FUNDS,58,RETRY,30,665.11,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-27T17:16:04.278632
REC-ac298708,CASE-2056,TEMPORARY_FAILURE,81,RETRY,30,1746.8,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-26T13:16:04.278632
REC-753423e2,CASE-2057,TEMPORARY_FAILURE,95,RETRY,30,2052.17,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-28T06:16:04.278632
REC-bbff983b,CASE-2058,INSUFFICIENT_FUNDS,59,RETRY,30,2741.93,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-26T21:16:04.278632
REC-31bf3cc5,CASE-2059,INSUFFICIENT_FUNDS,70,RETRY,30,5007.56,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-27T19:16:04.278632
REC-1dfa7059,CASE-2060,TEMPORARY_FAILURE,76,RETRY,30,3537.73,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-27T12:16:04.278632
REC-0c3ec61a,CASE-2061,INSUFFICIENT_FUNDS,56,RETRY,30,2601.49,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-26T21:16:04.278632
REC-54e40fdf,CASE-2062,INSUFFICIENT_FUNDS,60,RETRY,30,2188.74,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-28T03:16:04.278632
REC-a3571fc5,CASE-2063,TEMPORARY_FAILURE,90,RETRY,30,4193.11,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-27T13:16:04.278632
REC-29dfcb40,CASE-2064,INSUFFICIENT_FUNDS,50,RETRY,30,570.62,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-27T13:16:04.278632
REC-91247c9e,CASE-2065,INSUFFICIENT_FUNDS,51,RETRY,30,1857.43,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-27T09:16:04.278632
REC-ff6f115e,CASE-2066,TEMPORARY_FAILURE,80,RETRY,30,3724.98,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-28T07:16:04.278632
REC-bd804135,CASE-2067,TEMPORARY_FAILURE,80,RETRY,30,2924.98,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-27T18:16:04.278632
REC-1f7ff370,CASE-2068,INSUFFICIENT_FUNDS,69,RETRY,30,3210.05,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-27T03:16:04.278632
REC-025b9874,CASE-2069,TEMPORARY_FAILURE,88,RETRY,30,1899.48,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-27T19:16:04.278632
REC-16c2a7b1,CASE-2070,INSUFFICIENT_FUNDS,54,RETRY,30,2507.86,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-27T19:16:04.278632
REC-68973652,CASE-2071,INSUFFICIENT_FUNDS,64,RETRY,30,2975.99,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-27T20:16:04.278632
REC-1a8e3b74,CASE-2072,TEMPORARY_FAILURE,91,RETRY,30,1964.92,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-28T04:16:04.278632
REC-d7001b73,CASE-2073,INSUFFICIENT_FUNDS,45,RETRY,30,1636.55,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-27T12:16:04.278632
REC-ce2f36f3,CASE-2074,TEMPORARY_FAILURE,73,RETRY,30,2667.3,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-26T22:16:04.278632
REC-1d8159b7,CASE-2075,INSUFFICIENT_FUNDS,64,RETRY,30,1375.99,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-27T16:16:04.278632
REC-76c7f77e,CASE-2076,INSUFFICIENT_FUNDS,70,RETRY,30,1506.86,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-26T16:16:04.278632
REC-96f29597,CASE-2077,TEMPORARY_FAILURE,76,RETRY,30,8858.49,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-27T12:16:04.278632
REC-6b81decc,CASE-2078,TEMPORARY_FAILURE,95,RETRY,30,3477.17,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-27T02:16:04.278632
REC-f37881d8,CASE-2079,TEMPORARY_FAILURE,88,RETRY,30,1899.48,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-27T23:16:04.278632
REC-36c8116f,CASE-2080,INSUFFICIENT_FUNDS,63,RETRY,30,2929.17,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-27T05:16:04.278632
REC-41a82722,CASE-2081,TEMPORARY_FAILURE,85,RETRY,30,1834.05,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-27T09:16:04.278632
REC-987e3556,CASE-2082,INSUFFICIENT_FUNDS,49,RETRY,30,2273.8,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-27T11:16:04.278632
REC-3634e305,CASE-2083,TEMPORARY_FAILURE,77,RETRY,30,5510.32,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-26T16:16:04.278632
REC-c12738cd,CASE-2084,TEMPORARY_FAILURE,83,RETRY,30,5941.25,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-26T18:16:04.278632
REC-dc2dccd6,CASE-2085,INSUFFICIENT_FUNDS,67,RETRY,30,7807.09,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-26T19:16:04.278632
REC-19421605,CASE-2086,TEMPORARY_FAILURE,86,RETRY,30,10026.72,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-28T06:16:04.278632
REC-b5a76b10,CASE-2087,INSUFFICIENT_FUNDS,51,RETRY,30,582.43,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-26T13:16:04.278632
REC-dd570f5b,CASE-2088,TEMPORARY_FAILURE,80,RETRY,30,5725.78,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-27T13:16:04.278632
REC-9f577212,CASE-2089,TEMPORARY_FAILURE,74,RETRY,30,3444.11,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-28T11:16:04.278632
REC-9cc582b5,CASE-2090,INSUFFICIENT_FUNDS,51,RETRY,30,2367.43,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-28T05:16:04.278632
REC-a2405013,CASE-2091,INSUFFICIENT_FUNDS,54,RETRY,30,6288.4,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-27T07:16:04.278632
REC-308e62fb,CASE-2092,TEMPORARY_FAILURE,78,RETRY,30,1681.36,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-28T06:16:04.278632
REC-5cd12282,CASE-2093,TEMPORARY_FAILURE,91,RETRY,30,4239.92,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-28T10:16:04.278632
REC-9b97cddf,CASE-2094,INSUFFICIENT_FUNDS,52,RETRY,30,6054.76,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-28T06:16:04.278632
REC-1419b70c,CASE-2095,INSUFFICIENT_FUNDS,55,RETRY,30,6405.23,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-28T02:16:04.278632
REC-0c815a21,CASE-2096,TEMPORARY_FAILURE,80,RETRY,30,2924.98,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-26T20:16:04.278632
REC-14e585e6,CASE-2097,INSUFFICIENT_FUNDS,56,RETRY,30,1201.49,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-26T13:16:04.278632
REC-4952ff3f,CASE-2098,INSUFFICIENT_FUNDS,57,RETRY,30,4073.87,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-28T12:16:04.278632
REC-b48fc495,CASE-2099,INSUFFICIENT_FUNDS,58,RETRY,30,6755.69,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-28T08:16:04.278632
REC-599fff59,CASE-2100,INSUFFICIENT_FUNDS,51,RETRY,30,3642.94,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-27T16:16:04.283657
REC-e995b55c,CASE-2101,TEMPORARY_FAILURE,74,RETRY,30,1594.11,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-27T05:16:04.283657
REC-481bd613,CASE-2102,TEMPORARY_FAILURE,85,RETRY,30,6084.9,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-27T11:16:04.283657
REC-1ae891a1,CASE-2103,INSUFFICIENT_FUNDS,52,RETRY,30,3714.76,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-26T21:16:04.283657
REC-94ee4ba0,CASE-2104,TEMPORARY_FAILURE,88,RETRY,30,1899.48,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-28T04:16:04.283657
REC-f606ec2c,CASE-2105,INSUFFICIENT_FUNDS,52,RETRY,30,1894.24,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-28T01:16:04.283657
REC-20b6b09d,CASE-2106,TEMPORARY_FAILURE,89,RETRY,30,3256.29,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-28T04:16:04.283657
REC-8025c1fa,CASE-2107,INSUFFICIENT_FUNDS,69,RETRY,30,4935.74,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-26T20:16:04.283657
REC-81514b72,CASE-2108,TEMPORARY_FAILURE,89,RETRY,30,6372.18,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-27T18:16:04.285164
REC-3dd16f63,CASE-2109,INSUFFICIENT_FUNDS,56,RETRY,30,1201.49,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-28T09:16:04.285164
REC-0238e097,CASE-2110,INSUFFICIENT_FUNDS,45,RETRY,30,1636.55,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-27T12:16:04.285164
REC-e0d7d51c,CASE-2111,TEMPORARY_FAILURE,77,RETRY,30,5510.32,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-27T05:16:04.285164
REC-5afd248d,CASE-2112,TEMPORARY_FAILURE,90,RETRY,30,4193.11,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-27T00:16:04.285164
REC-aa8080a8,CASE-2113,TEMPORARY_FAILURE,95,RETRY,30,1102.17,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-27T22:16:04.285164
REC-e5e391d2,CASE-2114,INSUFFICIENT_FUNDS,63,RETRY,30,4504.8,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-26T13:16:04.285164
REC-bab115e7,CASE-2115,TEMPORARY_FAILURE,80,RETRY,30,3724.98,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-27T02:16:04.285164
REC-b1787464,CASE-2116,TEMPORARY_FAILURE,79,RETRY,30,2888.17,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-27T23:16:04.285164
REC-fc1282ba,CASE-2117,INSUFFICIENT_FUNDS,51,RETRY,30,2367.43,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-27T08:16:04.285164
REC-97df2b1a,CASE-2118,INSUFFICIENT_FUNDS,67,RETRY,30,2446.42,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-27T21:16:04.285164
REC-873b5318,CASE-2119,TEMPORARY_FAILURE,92,RETRY,30,1986.73,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-26T21:16:04.285164
REC-30403484,CASE-2120,TEMPORARY_FAILURE,95,RETRY,30,2052.17,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-27T14:16:04.285164
REC-0d7ee46e,CASE-2121,INSUFFICIENT_FUNDS,62,RETRY,30,4432.98,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-26T15:16:04.285164
REC-fcfcd940,CASE-2122,INSUFFICIENT_FUNDS,63,RETRY,30,2299.17,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-26T17:16:04.285164
REC-b825034d,CASE-2123,INSUFFICIENT_FUNDS,53,RETRY,30,606.05,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-26T19:16:04.285164
REC-31a464e9,CASE-2124,TEMPORARY_FAILURE,89,RETRY,30,1921.29,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-27T16:16:04.287232
REC-b13442a0,CASE-2125,TEMPORARY_FAILURE,93,RETRY,30,2008.54,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-27T00:16:04.287232
REC-69dee9b7,CASE-2126,INSUFFICIENT_FUNDS,62,RETRY,30,7222.98,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-28T08:16:04.287232
REC-e38eadf7,CASE-2127,TEMPORARY_FAILURE,95,RETRY,30,11078.12,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-26T13:16:04.287232
REC-d96dd14d,CASE-2128,TEMPORARY_FAILURE,89,RETRY,30,3256.29,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-27T16:16:04.287232
REC-fba28632,CASE-2129,INSUFFICIENT_FUNDS,45,RETRY,30,3212.0,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-26T18:16:04.287232
REC-e750ceeb,CASE-2130,INSUFFICIENT_FUNDS,67,RETRY,30,7807.09,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-27T09:16:04.287232
REC-97a7c0ad,CASE-2131,TEMPORARY_FAILURE,76,RETRY,30,1637.73,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-27T15:16:04.287232
REC-76dc885e,CASE-2132,TEMPORARY_FAILURE,81,RETRY,30,5797.61,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-26T17:16:04.287232
REC-b40786d1,CASE-2133,INSUFFICIENT_FUNDS,47,RETRY,30,535.18,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-28T05:16:04.287232
REC-36c0c2f1,CASE-2134,TEMPORARY_FAILURE,73,RETRY,30,1572.3,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-28T00:16:04.287232
REC-c4f41f51,CASE-2135,INSUFFICIENT_FUNDS,53,RETRY,30,6171.58,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-28T07:16:04.287232
REC-a9ba053a,CASE-2136,INSUFFICIENT_FUNDS,68,RETRY,30,7923.92,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-26T18:16:04.287232
REC-62288d82,CASE-2137,INSUFFICIENT_FUNDS,55,RETRY,30,6405.23,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-27T17:16:04.287232
REC-5c209a21,CASE-2138,TEMPORARY_FAILURE,89,RETRY,30,10377.18,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-28T07:16:04.287232
REC-bae88e04,CASE-2139,INSUFFICIENT_FUNDS,51,RETRY,30,5937.94,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-28T08:16:04.287232
REC-a96b89a4,CASE-2140,TEMPORARY_FAILURE,82,RETRY,30,1768.61,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-26T16:16:04.287232
REC-56fc989f,CASE-2141,INSUFFICIENT_FUNDS,52,RETRY,30,1894.24,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-28T08:16:04.287232
