id,case_id,event_type,actor_type,actor_id,reason,metadata_json,timestamp
AUD-8f963831,CASE-2010,CASE_CREATED,SYSTEM,SYSTEM,"Case initialized for FAILED_PAYMENT amount ₹1,499.00","{""amount_at_risk"": 1499.0, ""score"": 47, ""policy"": ""HUMAN""}",2026-08-27T23:16:04.272959
AUD-86791685,CASE-2011,CASE_CREATED,SYSTEM,SYSTEM,"Case initialized for FAILED_PAYMENT amount ₹1,499.00","{""amount_at_risk"": 1499.0, ""score"": 51, ""policy"": ""HUMAN""}",2026-08-26T17:16:04.272959
AUD-50df3959,CASE-2012,CASE_CREATED,SYSTEM,SYSTEM,"Case initialized for FAILED_PAYMENT amount ₹12,000.00","{""amount_at_risk"": 12000.0, ""score"": 48, ""policy"": ""HUMAN""}",2026-08-27T08:16:04.272959
AUD-b142bd31,CASE-2013,CASE_CREATED,SYSTEM,SYSTEM,"Case initialized for FAILED_PAYMENT amount ₹2,499.00","{""amount_at_risk"": 2499.0, ""score"": 79, ""policy"": ""HUMAN""}",2026-08-27T04:16:04.272959
AUD-8328d600,CASE-2014,CASE_CREATED,SYSTEM,SYSTEM,"Case initialized for FAILED_PAYMENT amount ₹3,999.00","{""amount_at_risk"": 3999.0, ""score"": 59, ""policy"": ""HUMAN""}",2026-08-26T22:16:04.272959
AUD-a77b6ffb,CASE-2015,CASE_CREATED,SYSTEM,SYSTEM,"Case initialized for FAILED_PAYMENT amount ₹12,000.00","{""amount_at_risk"": 12000.0, ""score"": 65, ""policy"": ""HUMAN""}",2026-08-26T18:16:04.272959
AUD-88d79ad4,CASE-2016,CASE_CREATED,SYSTEM,SYSTEM,"Case initialized for FAILED_PAYMENT amount ₹7,500.00","{""amount_at_risk"": 7500.0, ""score"": 59, ""policy"": ""HUMAN""}",2026-08-28T09:16:04.272959
AUD-d5ad4b6f,CASE-2017,CASE_CREATED,SYSTEM,SYSTEM,"Case initialized for FAILED_PAYMENT amount ₹7,500.00","{""amount_at_risk"": 7500.0, ""score"": 82, ""policy"": ""HUMAN""}",2026-08-27T05:16:04.272959
AUD-72bda65e,CASE-2018,CASE_CREATED,SYSTEM,SYSTEM,"Case initialized for FAILED_PAYMENT amount ₹1,499.00","{""amount_at_risk"": 1499.0, ""score"": 67, ""policy"": ""HUMAN""}",2026-08-27T10:16:04.274968
AUD-2c424d90,CASE-2019,CASE_CREATED,SYSTEM,SYSTEM,"Case initialized for FAILED_PAYMENT amount ₹4,999.00","{""amount_at_risk"": 4999.0, ""score"": 54, ""policy"": ""HUMAN""}",2026-08-27T02:16:04.274968
AUD-0ab99c64,CASE-2020,CASE_CREATED,SYSTEM,SYSTEM,"Case initialized for FAILED_PAYMENT amount ₹4,999.00","{""amount_at_risk"": 4999.0, ""score"": 60, ""policy"": ""HUMAN""}",2026-08-28T03:16:04.274968
AUD-29d23389,CASE-2021,CASE_CREATED,SYSTEM,SYSTEM,"Case initialized for FAILED_PAYMENT amount ₹4,999.00","{""amount_at_risk"": 4999.0, ""score"": 48, ""policy"": ""HUMAN""}",2026-08-27T01:16:04.274968
AUD-90f4400d,CASE-2022,CASE_CREATED,SYSTEM,SYSTEM,"Case initialized for FAILED_PAYMENT amount ₹7,500.00","{""amount_at_risk"": 7500.0, ""score"": 53, ""policy"": ""HUMAN""}",2026-08-27T23:16:04.274968
AUD-346c19fb,CASE-2023,CASE_CREATED,SYSTEM,SYSTEM,"Case initialized for FAILED_PAYMENT amount ₹3,999.00","{""amount_at_risk"": 3999.0, ""score"": 86, ""policy"": ""AUTO""}",2026-08-27T02:16:04.274968
AUD-fc953e6e,CASE-2024,CASE_CREATED,SYSTEM,SYSTEM,"Case initialized for FAILED_PAYMENT amount ₹12,000.00","{""amount_at_risk"": 12000.0, ""score"": 57, ""policy"": ""HUMAN""}",2026-08-26T17:16:04.274968
AUD-b09df4ee,CASE-2025,CASE_CREATED,SYSTEM,SYSTEM,"Case initialized for FAILED_PAYMENT amount ₹7,500.00","{""amount_at_risk"": 7500.0, ""score"": 83, ""policy"": ""HUMAN""}",2026-08-26T23:16:04.274968
AUD-d8e805ba,CASE-2026,CASE_CREATED,SYSTEM,SYSTEM,"Case initialized for FAILED_PAYMENT amount ₹12,000.00","{""amount_at_risk"": 12000.0, ""score"": 87, ""policy"": ""HUMAN""}",2026-08-27T23:16:04.274968
AUD-07947327,CASE-2027,CASE_CREATED,SYSTEM,SYSTEM,"Case initialized for FAILED_PAYMENT amount ₹3,999.00","{""amount_at_risk"": 3999.0, ""score"": 64, ""policy"": ""HUMAN""}",2026-08-26T13:16:04.274968
AUD-d5c97226,CASE-2028,CASE_CREATED,SYSTEM,SYSTEM,"Case initialized for FAILED_PAYMENT amount ₹1,499.00","{""amount_at_risk"": 1499.0, ""score"": 92, ""policy"": ""AUTO""}",2026-08-26T22:16:04.274968
AUD-840170f5,CASE-2029,CASE_CREATED,SYSTEM,SYSTEM,"Case initialized for FAILED_PAYMENT amount ₹12,000.00","{""amount_at_risk"": 12000.0, ""score"": 58, ""policy"": ""HUMAN""}",2026-08-27T16:16:04.274968
AUD-da114090,CASE-2030,CASE_CREATED,SYSTEM,SYSTEM,"Case initialized for FAILED_PAYMENT amount ₹3,999.00","{""amount_at_risk"": 3999.0, ""score"": 69, ""policy"": ""HUMAN""}",2026-08-27T20:16:04.274968
AUD-3a64ee1b,CASE-2031,CASE_CREATED,SYSTEM,SYSTEM,"Case initialized for FAILED_PAYMENT amount ₹3,999.00","{""amount_at_risk"": 3999.0, ""score"": 77, ""policy"": ""HUMAN""}",2026-08-26T14:16:04.274968
AUD-2840520f,CASE-2032,CASE_CREATED,SYSTEM,SYSTEM,"Case initialized for FAILED_PAYMENT amount ₹4,999.00","{""amount_at_risk"": 4999.0, ""score"": 93, ""policy"": ""AUTO""}",2026-08-27T10:16:04.276625
AUD-6c425ba3,CASE-2033,CASE_CREATED,SYSTEM,SYSTEM,"Case initialized for FAILED_PAYMENT amount ₹1,499.00","{""amount_at_risk"": 1499.0, ""score"": 81, ""policy"": ""AUTO""}",2026-08-27T01:16:04.276625
AUD-2893745a,CASE-2034,CASE_CREATED,SYSTEM,SYSTEM,"Case initialized for FAILED_PAYMENT amount ₹7,500.00","{""amount_at_risk"": 7500.0, ""score"": 82, ""policy"": ""HUMAN""}",2026-08-28T00:16:04.276625
AUD-fb72d2da,CASE-2035,CASE_CREATED,SYSTEM,SYSTEM,"Case initialized for FAILED_PAYMENT amount ₹3,999.00","{""amount_at_risk"": 3999.0, ""score"": 59, ""policy"": ""HUMAN""}",2026-08-27T01:16:04.276625
AUD-e4a2caec,CASE-2036,CASE_CREATED,SYSTEM,SYSTEM,"Case initialized for FAILED_PAYMENT amount ₹12,000.00","{""amount_at_risk"": 12000.0, ""score"": 88, ""policy"": ""HUMAN""}",2026-08-26T14:16:04.276625
AUD-6047307d,CASE-2037,CASE_CREATED,SYSTEM,SYSTEM,"Case initialized for FAILED_PAYMENT amount ₹12,000.00","{""amount_at_risk"": 12000.0, ""score"": 92, ""policy"": ""HUMAN""}",2026-08-26T14:16:04.276625
AUD-35d1d176,CASE-2038,CASE_CREATED,SYSTEM,SYSTEM,"Case initialized for FAILED_PAYMENT amount ₹3,999.00","{""amount_at_risk"": 3999.0, ""score"": 55, ""policy"": ""HUMAN""}",2026-08-27T02:16:04.276625
AUD-11d284e2,CASE-2039,CASE_CREATED,SYSTEM,SYSTEM,"Case initialized for FAILED_PAYMENT amount ₹12,000.00","{""amount_at_risk"": 12000.0, ""score"": 48, ""policy"": ""HUMAN""}",2026-08-26T18:16:04.276625
AUD-a5092a46,CASE-2040,CASE_CREATED,SYSTEM,SYSTEM,"Case initialized for FAILED_PAYMENT amount ₹1,499.00","{""amount_at_risk"": 1499.0, ""score"": 93, ""policy"": ""AUTO""}",2026-08-26T15:16:04.276625
AUD-cb356faa,CASE-2041,CASE_CREATED,SYSTEM,SYSTEM,"Case initialized for FAILED_PAYMENT amount ₹2,499.00","{""amount_at_risk"": 2499.0, ""score"": 45, ""policy"": ""HUMAN""}",2026-08-28T09:16:04.276625
AUD-2a8b5b52,CASE-2042,CASE_CREATED,SYSTEM,SYSTEM,"Case initialized for FAILED_PAYMENT amount ₹7,500.00","{""amount_at_risk"": 7500.0, ""score"": 85, ""policy"": ""HUMAN""}",2026-08-28T12:16:04.276625
AUD-367b38c9,CASE-2043,CASE_CREATED,SYSTEM,SYSTEM,"Case initialized for FAILED_PAYMENT amount ₹7,500.00","{""amount_at_risk"": 7500.0, ""score"": 80, ""policy"": ""HUMAN""}",2026-08-27T03:16:04.276625
AUD-1060ad79,CASE-2044,CASE_CREATED,SYSTEM,SYSTEM,"Case initialized for FAILED_PAYMENT amount ₹12,000.00","{""amount_at_risk"": 12000.0, ""score"": 62, ""policy"": ""HUMAN""}",2026-08-27T04:16:04.276625
AUD-6305311e,CASE-2045,CASE_CREATED,SYSTEM,SYSTEM,"Case initialized for FAILED_PAYMENT amount ₹12,000.00","{""amount_at_risk"": 12000.0, ""score"": 88, ""policy"": ""HUMAN""}",2026-08-28T06:16:04.276625
AUD-299ee4e2,CASE-2046,CASE_CREATED,SYSTEM,SYSTEM,"Case initialized for FAILED_PAYMENT amount ₹7,500.00","{""amount_at_risk"": 7500.0, ""score"": 54, ""policy"": ""HUMAN""}",2026-08-27T03:16:04.276625
AUD-f26e6e32,CASE-2047,CASE_CREATED,SYSTEM,SYSTEM,"Case initialized for FAILED_PAYMENT amount ₹3,999.00","{""amount_at_risk"": 3999.0, ""score"": 67, ""policy"": ""HUMAN""}",2026-08-27T13:16:04.276625
AUD-7ecfa510,CASE-2048,CASE_CREATED,SYSTEM,SYSTEM,"Case initialized for FAILED_PAYMENT amount ₹4,999.00","{""amount_at_risk"": 4999.0, ""score"": 74, ""policy"": ""HUMAN""}",2026-08-27T22:16:04.276625
AUD-2ffac280,CASE-2049,CASE_CREATED,SYSTEM,SYSTEM,"Case initialized for FAILED_PAYMENT amount ₹3,999.00","{""amount_at_risk"": 3999.0, ""score"": 88, ""policy"": ""AUTO""}",2026-08-27T11:16:04.276625
AUD-1dfe58ca,CASE-2050,CASE_CREATED,SYSTEM,SYSTEM,"Case initialized for FAILED_PAYMENT amount ₹4,999.00","{""amount_at_risk"": 4999.0, ""score"": 69, ""policy"": ""HUMAN""}",2026-08-26T20:16:04.278632
AUD-9ae6dde2,CASE-2051,CASE_CREATED,SYSTEM,SYSTEM,"Case initialized for FAILED_PAYMENT amount ₹1,499.00","{""amount_at_risk"": 1499.0, ""score"": 89, ""policy"": ""AUTO""}",2026-08-27T15:16:04.278632
AUD-82fe91a7,CASE-2052,CASE_CREATED,SYSTEM,SYSTEM,"Case initialized for FAILED_PAYMENT amount ₹7,500.00","{""amount_at_risk"": 7500.0, ""score"": 51, ""policy"": ""HUMAN""}",2026-08-27T23:16:04.278632
AUD-ceb896f8,CASE-2053,CASE_CREATED,SYSTEM,SYSTEM,"Case initialized for FAILED_PAYMENT amount ₹12,000.00","{""amount_at_risk"": 12000.0, ""score"": 81, ""policy"": ""HUMAN""}",2026-08-28T08:16:04.278632
AUD-f838d1ac,CASE-2054,CASE_CREATED,SYSTEM,SYSTEM,"Case initialized for FAILED_PAYMENT amount ₹12,000.00","{""amount_at_risk"": 12000.0, ""score"": 62, ""policy"": ""HUMAN""}",2026-08-27T16:16:04.278632
AUD-06062d15,CASE-2055,CASE_CREATED,SYSTEM,SYSTEM,"Case initialized for FAILED_PAYMENT amount ₹1,499.00","{""amount_at_risk"": 1499.0, ""score"": 58, ""policy"": ""HUMAN""}",2026-08-27T17:16:04.278632
AUD-192ba427,CASE-2056,CASE_CREATED,SYSTEM,SYSTEM,"Case initialized for FAILED_PAYMENT amount ₹2,499.00","{""amount_at_risk"": 2499.0, ""score"": 81, ""policy"": ""AUTO""}",2026-08-26T13:16:04.278632
AUD-34be2787,CASE-2057,CASE_CREATED,SYSTEM,SYSTEM,"Case initialized for FAILED_PAYMENT amount ₹2,499.00","{""amount_at_risk"": 2499.0, ""score"": 95, ""policy"": ""AUTO""}",2026-08-28T06:16:04.278632
AUD-8369668e,CASE-2058,CASE_CREATED,SYSTEM,SYSTEM,"Case initialized for FAILED_PAYMENT amount ₹4,999.00","{""amount_at_risk"": 4999.0, ""score"": 59, ""policy"": ""HUMAN""}",2026-08-26T21:16:04.278632
AUD-90a70251,CASE-2059,CASE_CREATED,SYSTEM,SYSTEM,"Case initialized for FAILED_PAYMENT amount ₹7,500.00","{""amount_at_risk"": 7500.0, ""score"": 70, ""policy"": ""HUMAN""}",2026-08-27T19:16:04.278632
AUD-c310b032,CASE-2060,CASE_CREATED,SYSTEM,SYSTEM,"Case initialized for FAILED_PAYMENT amount ₹4,999.00","{""amount_at_risk"": 4999.0, ""score"": 76, ""policy"": ""HUMAN""}",2026-08-27T12:16:04.278632
AUD-6df58af4,CASE-2061,CASE_CREATED,SYSTEM,SYSTEM,"Case initialized for FAILED_PAYMENT amount ₹4,999.00","{""amount_at_risk"": 4999.0, ""score"": 56, ""policy"": ""HUMAN""}",2026-08-26T21:16:04.278632
AUD-83351cc7,CASE-2062,CASE_CREATED,SYSTEM,SYSTEM,"Case initialized for FAILED_PAYMENT amount ₹3,999.00","{""amount_at_risk"": 3999.0, ""score"": 60, ""policy"": ""HUMAN""}",2026-08-28T03:16:04.278632
AUD-ba9d323f,CASE-2063,CASE_CREATED,SYSTEM,SYSTEM,"Case initialized for FAILED_PAYMENT amount ₹4,999.00","{""amount_at_risk"": 4999.0, ""score"": 90, ""policy"": ""AUTO""}",2026-08-27T13:16:04.278632
AUD-bf1a2a95,CASE-2064,CASE_CREATED,SYSTEM,SYSTEM,"Case initialized for FAILED_PAYMENT amount ₹1,499.00","{""amount_at_risk"": 1499.0, ""score"": 50, ""policy"": ""HUMAN""}",2026-08-27T13:16:04.278632
AUD-075af113,CASE-2065,CASE_CREATED,SYSTEM,SYSTEM,"Case initialized for FAILED_PAYMENT amount ₹3,999.00","{""amount_at_risk"": 3999.0, ""score"": 51, ""policy"": ""HUMAN""}",2026-08-27T09:16:04.278632
AUD-02021dbe,CASE-2066,CASE_CREATED,SYSTEM,SYSTEM,"Case initialized for FAILED_PAYMENT amount ₹4,999.00","{""amount_at_risk"": 4999.0, ""score"": 80, ""policy"": ""AUTO""}",2026-08-28T07:16:04.278632
AUD-f869c405,CASE-2067,CASE_CREATED,SYSTEM,SYSTEM,"Case initialized for FAILED_PAYMENT amount ₹3,999.00","{""amount_at_risk"": 3999.0, ""score"": 80, ""policy"": ""AUTO""}",2026-08-27T18:16:04.278632
AUD-97729656,CASE-2068,CASE_CREATED,SYSTEM,SYSTEM,"Case initialized for FAILED_PAYMENT amount ₹4,999.00","{""amount_at_risk"": 4999.0, ""score"": 69, ""policy"": ""HUMAN""}",2026-08-27T03:16:04.278632
AUD-572f20ab,CASE-2069,CASE_CREATED,SYSTEM,SYSTEM,"Case initialized for FAILED_PAYMENT amount ₹2,499.00","{""amount_at_risk"": 2499.0, ""score"": 88, ""policy"": ""AUTO""}",2026-08-27T19:16:04.278632
AUD-e07cdad6,CASE-2070,CASE_CREATED,SYSTEM,SYSTEM,"Case initialized for FAILED_PAYMENT amount ₹4,999.00","{""amount_at_risk"": 4999.0, ""score"": 54, ""policy"": ""HUMAN""}",2026-08-27T19:16:04.278632
AUD-7398e9ef,CASE-2071,CASE_CREATED,SYSTEM,SYSTEM,"Case initialized for FAILED_PAYMENT amount ₹4,999.00","{""amount_at_risk"": 4999.0, ""score"": 64, ""policy"": ""HUMAN""}",2026-08-27T20:16:04.278632
AUD-e6809537,CASE-2072,CASE_CREATED,SYSTEM,SYSTEM,"Case initialized for FAILED_PAYMENT amount ₹2,499.00","{""amount_at_risk"": 2499.0, ""score"": 91, ""policy"": ""AUTO""}",2026-08-28T04:16:04.278632
AUD-a3554368,CASE-2073,CASE_CREATED,SYSTEM,SYSTEM,"Case initialized for FAILED_PAYMENT amount ₹3,999.00","{""amount_at_risk"": 3999.0, ""score"": 45, ""policy"": ""HUMAN""}",2026-08-27T12:16:04.278632
AUD-4b36d583,CASE-2074,CASE_CREATED,SYSTEM,SYSTEM,"Case initialized for FAILED_PAYMENT amount ₹3,999.00","{""amount_at_risk"": 3999.0, ""score"": 73, ""policy"": ""HUMAN""}",2026-08-26T22:16:04.278632
AUD-5f1c0795,CASE-2075,CASE_CREATED,SYSTEM,SYSTEM,"Case initialized for FAILED_PAYMENT amount ₹2,499.00","{""amount_at_risk"": 2499.0, ""score"": 64, ""policy"": ""HUMAN""}",2026-08-27T16:16:04.278632
AUD-8f35f739,CASE-2076,CASE_CREATED,SYSTEM,SYSTEM,"Case initialized for FAILED_PAYMENT amount ₹2,499.00","{""amount_at_risk"": 2499.0, ""score"": 70, ""policy"": ""HUMAN""}",2026-08-26T16:16:04.278632
AUD-a28a4b5d,CASE-2077,CASE_CREATED,SYSTEM,SYSTEM,"Case initialized for FAILED_PAYMENT amount ₹12,000.00","{""amount_at_risk"": 12000.0, ""score"": 76, ""policy"": ""HUMAN""}",2026-08-27T12:16:04.278632
AUD-6e839c2b,CASE-2078,CASE_CREATED,SYSTEM,SYSTEM,"Case initialized for FAILED_PAYMENT amount ₹3,999.00","{""amount_at_risk"": 3999.0, ""score"": 95, ""policy"": ""AUTO""}",2026-08-27T02:16:04.278632
AUD-86ccf943,CASE-2079,CASE_CREATED,SYSTEM,SYSTEM,"Case initialized for FAILED_PAYMENT amount ₹2,499.00","{""amount_at_risk"": 2499.0, ""score"": 88, ""policy"": ""AUTO""}",2026-08-27T23:16:04.278632
AUD-7176e5c8,CASE-2080,CASE_CREATED,SYSTEM,SYSTEM,"Case initialized for FAILED_PAYMENT amount ₹4,999.00","{""amount_at_risk"": 4999.0, ""score"": 63, ""policy"": ""HUMAN""}",2026-08-27T05:16:04.278632
AUD-df726abd,CASE-2081,CASE_CREATED,SYSTEM,SYSTEM,"Case initialized for FAILED_PAYMENT amount ₹2,499.00","{""amount_at_risk"": 2499.0, ""score"": 85, ""policy"": ""AUTO""}",2026-08-27T09:16:04.278632
AUD-70a8a002,CASE-2082,CASE_CREATED,SYSTEM,SYSTEM,"Case initialized for FAILED_PAYMENT amount ₹4,999.00","{""amount_at_risk"": 4999.0, ""score"": 49, ""policy"": ""HUMAN""}",2026-08-27T11:16:04.278632
AUD-29b1e5c6,CASE-2083,CASE_CREATED,SYSTEM,SYSTEM,"Case initialized for FAILED_PAYMENT amount ₹7,500.00","{""amount_at_risk"": 7500.0, ""score"": 77, ""policy"": ""HUMAN""}",2026-08-26T16:16:04.278632
AUD-a90a5942,CASE-2084,CASE_CREATED,SYSTEM,SYSTEM,"Case initialized for FAILED_PAYMENT amount ₹7,500.00","{""amount_at_risk"": 7500.0, ""score"": 83, ""policy"": ""HUMAN""}",2026-08-26T18:16:04.278632
AUD-22594014,CASE-2085,CASE_CREATED,SYSTEM,SYSTEM,"Case initialized for FAILED_PAYMENT amount ₹12,000.00","{""amount_at_risk"": 12000.0, ""score"": 67, ""policy"": ""HUMAN""}",2026-08-26T19:16:04.278632
AUD-9904249c,CASE-2086,CASE_CREATED,SYSTEM,SYSTEM,"Case initialized for FAILED_PAYMENT amount ₹12,000.00","{""amount_at_risk"": 12000.0, ""score"": 86, ""policy"": ""HUMAN""}",2026-08-28T06:16:04.278632
AUD-3a5e9a80,CASE-2087,CASE_CREATED,SYSTEM,SYSTEM,"Case initialized for FAILED_PAYMENT amount ₹1,499.00","{""amount_at_risk"": 1499.0, ""score"": 51, ""policy"": ""HUMAN""}",2026-08-26T13:16:04.278632
AUD-c161d257,CASE-2088,CASE_CREATED,SYSTEM,SYSTEM,"Case initialized for FAILED_PAYMENT amount ₹7,500.00","{""amount_at_risk"": 7500.0, ""score"": 80, ""policy"": ""HUMAN""}",2026-08-27T13:16:04.278632
AUD-cba930c9,CASE-2089,CASE_CREATED,SYSTEM,SYSTEM,"Case initialized for FAILED_PAYMENT amount ₹4,999.00","{""amount_at_risk"": 4999.0, ""score"": 74, ""policy"": ""HUMAN""}",2026-08-28T11:16:04.278632
AUD-5f024a1b,CASE-2090,CASE_CREATED,SYSTEM,SYSTEM,"Case initialized for FAILED_PAYMENT amount ₹4,999.00","{""amount_at_risk"": 4999.0, ""score"": 51, ""policy"": ""HUMAN""}",2026-08-28T05:16:04.278632
AUD-33c4bf17,CASE-2091,CASE_CREATED,SYSTEM,SYSTEM,"Case initialized for FAILED_PAYMENT amount ₹12,000.00","{""amount_at_risk"": 12000.0, ""score"": 54, ""policy"": ""HUMAN""}",2026-08-27T07:16:04.278632
AUD-a6e1b2d2,CASE-2092,CASE_CREATED,SYSTEM,SYSTEM,"Case initialized for FAILED_PAYMENT amount ₹2,499.00","{""amount_at_risk"": 2499.0, ""score"": 78, ""policy"": ""HUMAN""}",2026-08-28T06:16:04.278632
AUD-e40c977b,CASE-2093,CASE_CREATED,SYSTEM,SYSTEM,"Case initialized for FAILED_PAYMENT amount ₹4,999.00","{""amount_at_risk"": 4999.0, ""score"": 91, ""policy"": ""AUTO""}",2026-08-28T10:16:04.278632
AUD-52d86cda,CASE-2094,CASE_CREATED,SYSTEM,SYSTEM,"Case initialized for FAILED_PAYMENT amount ₹12,000.00","{""amount_at_risk"": 12000.0, ""score"": 52, ""policy"": ""HUMAN""}",2026-08-28T06:16:04.278632
AUD-1e08890f,CASE-2095,CASE_CREATED,SYSTEM,SYSTEM,"Case initialized for FAILED_PAYMENT amount ₹12,000.00","{""amount_at_risk"": 12000.0, ""score"": 55, ""policy"": ""HUMAN""}",2026-08-28T02:16:04.278632
AUD-5cdb28d3,CASE-2096,CASE_CREATED,SYSTEM,SYSTEM,"Case initialized for FAILED_PAYMENT amount ₹3,999.00","{""amount_at_risk"": 3999.0, ""score"": 80, ""policy"": ""AUTO""}",2026-08-26T20:16:04.278632
AUD-80a73d94,CASE-2097,CASE_CREATED,SYSTEM,SYSTEM,"Case initialized for FAILED_PAYMENT amount ₹2,499.00","{""amount_at_risk"": 2499.0, ""score"": 56, ""policy"": ""HUMAN""}",2026-08-26T13:16:04.278632
AUD-e37ff953,CASE-2098,CASE_CREATED,SYSTEM,SYSTEM,"Case initialized for FAILED_PAYMENT amount ₹7,500.00","{""amount_at_risk"": 7500.0, ""score"": 57, ""policy"": ""HUMAN""}",2026-08-28T12:16:04.278632
AUD-08bf39e2,CASE-2099,CASE_CREATED,SYSTEM,SYSTEM,"Case initialized for FAILED_PAYMENT amount ₹12,000.00","{""amount_at_risk"": 12000.0, ""score"": 58, ""policy"": ""HUMAN""}",2026-08-28T08:16:04.278632
AUD-00dfd8de,CASE-2100,CASE_CREATED,SYSTEM,SYSTEM,"Case initialized for FAILED_PAYMENT amount ₹7,500.00","{""amount_at_risk"": 7500.0, ""score"": 51, ""policy"": ""HUMAN""}",2026-08-27T16:16:04.283657
AUD-780a238e,CASE-2101,CASE_CREATED,SYSTEM,SYSTEM,"Case initialized for FAILED_PAYMENT amount ₹2,499.00","{""amount_at_risk"": 2499.0, ""score"": 74, ""policy"": ""HUMAN""}",2026-08-27T05:16:04.283657
AUD-b21594b7,CASE-2102,CASE_CREATED,SYSTEM,SYSTEM,"Case initialized for FAILED_PAYMENT amount ₹7,500.00","{""amount_at_risk"": 7500.0, ""score"": 85, ""policy"": ""HUMAN""}",2026-08-27T11:16:04.283657
AUD-d3d0e1ea,CASE-2103,CASE_CREATED,SYSTEM,SYSTEM,"Case initialized for FAILED_PAYMENT amount ₹7,500.00","{""amount_at_risk"": 7500.0, ""score"": 52, ""policy"": ""HUMAN""}",2026-08-26T21:16:04.283657
AUD-dbcd6d7f,CASE-2104,CASE_CREATED,SYSTEM,SYSTEM,"Case initialized for FAILED_PAYMENT amount ₹2,499.00","{""amount_at_risk"": 2499.0, ""score"": 88, ""policy"": ""AUTO""}",2026-08-28T04:16:04.283657
AUD-cee10226,CASE-2105,CASE_CREATED,SYSTEM,SYSTEM,"Case initialized for FAILED_PAYMENT amount ₹3,999.00","{""amount_at_risk"": 3999.0, ""score"": 52, ""policy"": ""HUMAN""}",2026-08-28T01:16:04.283657
AUD-ea3a8914,CASE-2106,CASE_CREATED,SYSTEM,SYSTEM,"Case initialized for FAILED_PAYMENT amount ₹3,999.00","{""amount_at_risk"": 3999.0, ""score"": 89, ""policy"": ""AUTO""}",2026-08-28T04:16:04.283657
AUD-f65c8226,CASE-2107,CASE_CREATED,SYSTEM,SYSTEM,"Case initialized for FAILED_PAYMENT amount ₹7,500.00","{""amount_at_risk"": 7500.0, ""score"": 69, ""policy"": ""HUMAN""}",2026-08-26T20:16:04.283657
AUD-a8e8c126,CASE-2108,CASE_CREATED,SYSTEM,SYSTEM,"Case initialized for FAILED_PAYMENT amount ₹7,500.00","{""amount_at_risk"": 7500.0, ""score"": 89, ""policy"": ""HUMAN""}",2026-08-27T18:16:04.285164
AUD-568b0d87,CASE-2109,CASE_CREATED,SYSTEM,SYSTEM,"Case initialized for FAILED_PAYMENT amount ₹2,499.00","{""amount_at_risk"": 2499.0, ""score"": 56, ""policy"": ""HUMAN""}",2026-08-28T09:16:04.285164
