id,case_id,status,ai_recommendation,reason,created_at
APP-5603b008,CASE-2034,PENDING,"Recommend RETRY delay 30m. Amount ₹7,182.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-28T00:16:03.998341
APP-616ac88b,CASE-2035,PENDING,"Recommend RETRY delay 30m. Amount ₹3,681.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-27T01:16:03.998341
APP-89e8ab78,CASE-2036,PENDING,"Recommend RETRY delay 30m. Amount ₹11,682.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-26T14:16:03.998341
APP-9d5cc57b,CASE-2037,PENDING,"Recommend RETRY delay 30m. Amount ₹11,682.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-26T14:16:03.998341
APP-a37351a8,CASE-2038,PENDING,"Recommend RETRY delay 30m. Amount ₹3,681.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-27T02:16:03.998341
APP-4044ba61,CASE-2039,PENDING,"Recommend RETRY delay 30m. Amount ₹11,682.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-26T18:16:03.998341
APP-db029586,CASE-2041,PENDING,"Recommend RETRY delay 30m. Amount ₹2,181.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-28T09:16:03.998341
APP-b8e23175,CASE-2042,PENDING,"Recommend RETRY delay 30m. Amount ₹7,182.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-28T12:16:03.998341
APP-4fafb2e8,CASE-2043,PENDING,"Recommend RETRY delay 30m. Amount ₹7,182.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-27T03:16:03.998341
APP-da0adc51,CASE-2044,PENDING,"Recommend RETRY delay 30m. Amount ₹11,682.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-27T04:16:03.998341
APP-c9b4bba0,CASE-2045,PENDING,"Recommend RETRY delay 30m. Amount ₹11,682.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-28T06:16:03.998341
APP-a2a0b2c5,CASE-2046,PENDING,"Recommend RETRY delay 30m. Amount ₹7,182.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-27T03:16:03.998341
APP-d34aeeb8,CASE-2047,PENDING,"Recommend RETRY delay 30m. Amount ₹3,681.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-27T13:16:03.998341
APP-60b41c66,CASE-2048,PENDING,"Recommend RETRY delay 30m. Amount ₹4,681.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-27T22:16:03.998341
APP-a725b1ee,CASE-2050,PENDING,"Recommend RETRY delay 30m. Amount ₹4,681.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-26T20:16:03.998341
APP-473f144f,CASE-2052,PENDING,"Recommend RETRY delay 30m. Amount ₹7,182.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-27T23:16:03.998341
APP-be6327e6,CASE-2053,PENDING,"Recommend RETRY delay 30m. Amount ₹11,682.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-28T08:16:03.998341
APP-db7ed431,CASE-2054,PENDING,"Recommend RETRY delay 30m. Amount ₹11,682.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-27T16:16:03.998341
APP-c1ff039a,CASE-2055,PENDING,"Recommend RETRY delay 30m. Amount ₹1,181.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-27T17:16:03.998341
APP-e3c8a24d,CASE-2058,PENDING,"Recommend RETRY delay 30m. Amount ₹4,681.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-26T21:16:03.998341
APP-80c1502d,CASE-2059,PENDING,"Recommend RETRY delay 30m. Amount ₹7,182.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-27T19:16:03.998341
APP-dbd2cc11,CASE-2060,PENDING,"Recommend RETRY delay 30m. Amount ₹4,681.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-27T12:16:03.998341
APP-be5b2dc0,CASE-2061,PENDING,"Recommend RETRY delay 30m. Amount ₹4,681.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-26T21:16:03.998341
APP-982cbb31,CASE-2062,PENDING,"Recommend RETRY delay 30m. Amount ₹3,681.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-28T03:16:03.998341
APP-e4360548,CASE-2064,PENDING,"Recommend RETRY delay 30m. Amount ₹1,181.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-27T13:16:04.003078
APP-06662821,CASE-2065,PENDING,"Recommend RETRY delay 30m. Amount ₹3,681.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-27T09:16:04.003078
APP-eb5ca777,CASE-2068,PENDING,"Recommend RETRY delay 30m. Amount ₹4,681.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-27T03:16:04.003078
APP-91c4c711,CASE-2070,PENDING,"Recommend RETRY delay 30m. Amount ₹4,681.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-27T19:16:04.003078
APP-0f5805aa,CASE-2071,PENDING,"Recommend RETRY delay 30m. Amount ₹4,681.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-27T20:16:04.003078
APP-dba36097,CASE-2073,PENDING,"Recommend RETRY delay 30m. Amount ₹3,681.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-27T12:16:04.003078
APP-a26020c5,CASE-2074,PENDING,"Recommend RETRY delay 30m. Amount ₹3,681.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-26T22:16:04.003078
APP-919f0d3f,CASE-2075,PENDING,"Recommend RETRY delay 30m. Amount ₹2,181.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-27T16:16:04.003078
APP-fb7a3618,CASE-2076,PENDING,"Recommend RETRY delay 30m. Amount ₹2,181.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-26T16:16:04.003078
APP-bd21d71b,CASE-2077,PENDING,"Recommend RETRY delay 30m. Amount ₹11,682.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-27T12:16:04.005117
APP-5ae60114,CASE-2080,PENDING,"Recommend RETRY delay 30m. Amount ₹4,681.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-27T05:16:04.005117
APP-670e1506,CASE-2082,PENDING,"Recommend RETRY delay 30m. Amount ₹4,681.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-27T11:16:04.005117
APP-fafa8eb5,CASE-2083,PENDING,"Recommend RETRY delay 30m. Amount ₹7,182.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-26T16:16:04.005117
APP-47cbbd0a,CASE-2084,PENDING,"Recommend RETRY delay 30m. Amount ₹7,182.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-26T18:16:04.005117
APP-ca097e80,CASE-2085,PENDING,"Recommend RETRY delay 30m. Amount ₹11,682.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-26T19:16:04.005117
APP-e4948411,CASE-2086,PENDING,"Recommend RETRY delay 30m. Amount ₹11,682.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-28T06:16:04.005117
APP-57424d61,CASE-2087,PENDING,"Recommend RETRY delay 30m. Amount ₹1,181.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-26T13:16:04.005117
APP-60097f07,CASE-2088,PENDING,"Recommend RETRY delay 30m. Amount ₹7,182.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-27T13:16:04.005117
APP-137ee4aa,CASE-2089,PENDING,"Recommend RETRY delay 30m. Amount ₹4,681.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-28T11:16:04.005117
APP-ddee977c,CASE-2090,PENDING,"Recommend RETRY delay 30m. Amount ₹4,681.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-28T05:16:04.005117
APP-395e801f,CASE-2091,PENDING,"Recommend RETRY delay 30m. Amount ₹11,682.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-27T07:16:04.005117
APP-6fb4a608,CASE-2092,PENDING,"Recommend RETRY delay 30m. Amount ₹2,181.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-28T06:16:04.005117
APP-f6a09129,CASE-2094,PENDING,"Recommend RETRY delay 30m. Amount ₹11,682.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-28T06:16:04.005117
APP-71112e34,CASE-2095,PENDING,"Recommend RETRY delay 30m. Amount ₹11,682.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-28T02:16:04.005117
APP-bfc88884,CASE-2097,PENDING,"Recommend RETRY delay 30m. Amount ₹2,181.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-26T13:16:04.007252
APP-e61c4477,CASE-2098,PENDING,"Recommend RETRY delay 30m. Amount ₹7,182.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-28T12:16:04.007252
APP-019a22a4,CASE-2099,PENDING,"Recommend RETRY delay 30m. Amount ₹11,682.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-28T08:16:04.007252
APP-c1ef711b,CASE-2100,PENDING,"Recommend RETRY delay 30m. Amount ₹7,182.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-27T16:16:04.007252
APP-d7e92a9c,CASE-2101,PENDING,"Recommend RETRY delay 30m. Amount ₹2,181.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-27T05:16:04.007252
APP-9f58e963,CASE-2102,PENDING,"Recommend RETRY delay 30m. Amount ₹7,182.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-27T11:16:04.007252
APP-c63344f4,CASE-2103,PENDING,"Recommend RETRY delay 30m. Amount ₹7,182.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-26T21:16:04.007252
APP-db7eade0,CASE-2105,PENDING,"Recommend RETRY delay 30m. Amount ₹3,681.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-28T01:16:04.009263
APP-fda3a36c,CASE-2107,PENDING,"Recommend RETRY delay 30m. Amount ₹7,182.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-26T20:16:04.009263
APP-923bf8b6,CASE-2108,PENDING,"Recommend RETRY delay 30m. Amount ₹7,182.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-27T18:16:04.009263
APP-e6ef03a1,CASE-2109,PENDING,"Recommend RETRY delay 30m. Amount ₹2,181.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-28T09:16:04.009263
APP-ef60b38d,CASE-2110,PENDING,"Recommend RETRY delay 30m. Amount ₹3,681.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-27T12:16:04.009263
APP-297926b8,CASE-2111,PENDING,"Recommend RETRY delay 30m. Amount ₹7,182.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-27T05:16:04.009263
APP-857118c2,CASE-2114,PENDING,"Recommend RETRY delay 30m. Amount ₹7,182.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-26T13:16:04.009263
APP-5078ca88,CASE-2116,PENDING,"Recommend RETRY delay 30m. Amount ₹3,681.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-27T23:16:04.011272
APP-98ecfb9a,CASE-2117,PENDING,"Recommend RETRY delay 30m. Amount ₹4,681.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-27T08:16:04.011272
APP-95ba980c,CASE-2118,PENDING,"Recommend RETRY delay 30m. Amount ₹3,681.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-27T21:16:04.011272
APP-2b673ec9,CASE-2121,PENDING,"Recommend RETRY delay 30m. Amount ₹7,182.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-26T15:16:04.011272
APP-6573b069,CASE-2122,PENDING,"Recommend RETRY delay 30m. Amount ₹3,681.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-26T17:16:04.011272
APP-5314cb62,CASE-2123,PENDING,"Recommend RETRY delay 30m. Amount ₹1,181.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-26T19:16:04.011272
APP-8922dc26,CASE-2126,PENDING,"Recommend RETRY delay 30m. Amount ₹11,682.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-28T08:16:04.013021
APP-a7f22908,CASE-2127,PENDING,"Recommend RETRY delay 30m. Amount ₹11,682.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-26T13:16:04.013021
APP-d05d7327,CASE-2129,PENDING,"Recommend RETRY delay 30m. Amount ₹7,182.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-26T18:16:04.013021
APP-526b0a4b,CASE-2130,PENDING,"Recommend RETRY delay 30m. Amount ₹11,682.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-27T09:16:04.013021
APP-705ec87d,CASE-2131,PENDING,"Recommend RETRY delay 30m. Amount ₹2,181.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-27T15:16:04.013021
APP-657491bf,CASE-2132,PENDING,"Recommend RETRY delay 30m. Amount ₹7,182.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-26T17:16:04.013021
APP-645d4044,CASE-2133,PENDING,"Recommend RETRY delay 30m. Amount ₹1,181.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-28T05:16:04.014538
APP-2bd8aa06,CASE-2134,PENDING,"Recommend RETRY delay 30m. Amount ₹2,181.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-28T00:16:04.014538
APP-0139b4d2,CASE-2135,PENDING,"Recommend RETRY delay 30m. Amount ₹11,682.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-28T07:16:04.014538
APP-15c437a8,CASE-2136,PENDING,"Recommend RETRY delay 30m. Amount ₹11,682.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-26T18:16:04.015101
APP-5e1ce803,CASE-2137,PENDING,"Recommend RETRY delay 30m. Amount ₹11,682.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-27T17:16:04.015101
APP-3b409265,CASE-2138,PENDING,"Recommend RETRY delay 30m. Amount ₹11,682.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-28T07:16:04.015101
APP-373fe306,CASE-2139,PENDING,"Recommend RETRY delay 30m. Amount ₹11,682.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-28T08:16:04.015101
APP-2b8a590e,CASE-2141,PENDING,"Recommend RETRY delay 30m. Amount ₹3,681.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-28T08:16:04.015101
APP-96aff3cf,CASE-2142,PENDING,"Recommend RETRY delay 30m. Amount ₹2,181.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-27T16:16:04.015101
APP-4741d358,CASE-2143,PENDING,"Recommend RETRY delay 30m. Amount ₹3,681.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-26T19:16:04.015101
APP-122e9ccd,CASE-2144,PENDING,"Recommend RETRY delay 30m. Amount ₹11,682.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-26T19:16:04.015101
APP-5fe1990a,CASE-2145,PENDING,"Recommend RETRY delay 30m. Amount ₹2,181.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-26T13:16:04.016420
APP-1ef9797f,CASE-2146,PENDING,"Recommend RETRY delay 30m. Amount ₹2,181.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-28T06:16:04.016420
APP-6c7328b4,CASE-2148,PENDING,"Recommend RETRY delay 30m. Amount ₹2,181.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-27T01:16:04.016420
APP-715406c4,CASE-2149,PENDING,"Recommend RETRY delay 30m. Amount ₹7,182.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-27T17:16:04.016420
APP-38b7bce2,CASE-2150,PENDING,"Recommend RETRY delay 30m. Amount ₹2,181.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-27T11:16:04.016420
APP-9a40bc4b,CASE-2152,PENDING,"Recommend RETRY delay 30m. Amount ₹2,181.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-27T16:16:04.016420
APP-7febfe4d,CASE-2153,PENDING,"Recommend RETRY delay 30m. Amount ₹2,181.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-27T02:16:04.016420
APP-5107bffa,CASE-2154,PENDING,"Recommend RETRY delay 30m. Amount ₹11,682.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-26T23:16:04.016420
APP-3234697c,CASE-2155,PENDING,"Recommend RETRY delay 30m. Amount ₹1,181.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-28T09:16:04.016420
APP-1e6035fe,CASE-2156,PENDING,"Recommend RETRY delay 30m. Amount ₹4,681.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-26T16:16:04.016420
APP-ac12cb9d,CASE-2157,PENDING,"Recommend RETRY delay 30m. Amount ₹4,681.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-28T07:16:04.016420
APP-7343d30f,CASE-2158,PENDING,"Recommend RETRY delay 30m. Amount ₹3,681.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-27T02:16:04.016420
APP-9f09e24b,CASE-2159,PENDING,"Recommend RETRY delay 30m. Amount ₹3,681.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-27T09:16:04.016420
APP-22190a3d,CASE-2160,PENDING,"Recommend RETRY delay 30m. Amount ₹11,682.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-27T09:16:04.016420
APP-499e4009,CASE-2161,PENDING,"Recommend RETRY delay 30m. Amount ₹1,181.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-26T13:16:04.016420
APP-8519c7b6,CASE-2162,PENDING,"Recommend RETRY delay 30m. Amount ₹11,682.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-26T15:16:04.018430
APP-099ba627,CASE-2164,PENDING,"Recommend RETRY delay 30m. Amount ₹11,682.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-26T13:16:04.018430
APP-600723d8,CASE-2166,PENDING,"Recommend RETRY delay 30m. Amount ₹7,182.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-27T07:16:04.018430
APP-18944d9f,CASE-2167,PENDING,"Recommend RETRY delay 30m. Amount ₹7,182.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-28T02:16:04.018430
APP-44420332,CASE-2168,PENDING,"Recommend RETRY delay 30m. Amount ₹3,681.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-26T17:16:04.018430
APP-69b2d3a7,CASE-2169,PENDING,"Recommend RETRY delay 30m. Amount ₹11,682.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-28T12:16:04.019894
APP-c404a1b8,CASE-2170,PENDING,"Recommend RETRY delay 30m. Amount ₹2,181.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-28T03:16:04.019894
APP-ef2f0d2b,CASE-2171,PENDING,"Recommend RETRY delay 30m. Amount ₹2,181.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-27T16:16:04.019894
APP-31c98b77,CASE-2172,PENDING,"Recommend RETRY delay 30m. Amount ₹2,181.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-27T00:16:04.019894
APP-6e0c1241,CASE-2173,PENDING,"Recommend RETRY delay 30m. Amount ₹3,681.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-27T22:16:04.019894
APP-8023424a,CASE-2174,PENDING,"Recommend RETRY delay 30m. Amount ₹7,182.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-27T18:16:04.019894
APP-5d4a53f9,CASE-2175,PENDING,"Recommend RETRY delay 30m. Amount ₹3,681.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-27T13:16:04.019894
APP-721aff8b,CASE-2176,PENDING,"Recommend RETRY delay 30m. Amount ₹2,181.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-26T21:16:04.019894
APP-8db9b2a4,CASE-2177,PENDING,"Recommend RETRY delay 30m. Amount ₹2,181.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-26T14:16:04.019894
APP-b6fac3f7,CASE-2178,PENDING,"Recommend RETRY delay 30m. Amount ₹7,182.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-27T10:16:04.019894
APP-c3f6bd8e,CASE-2179,PENDING,"Recommend RETRY delay 30m. Amount ₹1,181.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-26T16:16:04.019894
APP-a155e3d5,CASE-2180,PENDING,"Recommend RETRY delay 30m. Amount ₹1,181.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-26T14:16:04.019894
APP-928173ec,CASE-2181,PENDING,"Recommend RETRY delay 30m. Amount ₹3,681.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-27T05:16:04.019894
APP-6f7dc8ff,CASE-2182,PENDING,"Recommend RETRY delay 30m. Amount ₹1,181.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-27T22:16:04.019894
